date,time,code,open,high,low,close,volume,amount,adjustflag
2017-07-24,20170724094500000,sh.601398,5.3300,5.3400,5.3300,5.3400,2146600,11458742.0000,3
2017-07-24,20170724095000000,sh.601398,5.3400,5.3700,5.3400,5.3600,6544000,35067724.0000,3
2017-07-24,20170724095500000,sh.601398,5.3600,5.3800,5.3500,5.3600,3152800,16918772.0000,3
2017-07-24,20170724100000000,sh.601398,5.3600,5.3600,5.3500,5.3600,1873900,10039705.0000,3
2017-07-24,20170724100500000,sh.601398,5.3500,5.3600,5.3500,5.3500,2146500,11500345.0000,3
2017-07-24,20170724101000000,sh.601398,5.3600,5.3600,5.3500,5.3600,1228300,6578707.0000,3
2017-07-24,20170724101500000,sh.601398,5.3600,5.3600,5.3500,5.3500,1460900,7825142.0000,3
2017-07-24,20170724102000000,sh.601398,5.3500,5.3600,5.3400,5.3500,2030400,10869429.0000,3
2017-07-24,20170724102500000,sh.601398,5.3600,5.3700,5.3500,5.3700,3607900,19336500.0000,3
2017-07-24,20170724103000000,sh.601398,5.3600,5.3700,5.3600,5.3600,2927700,15711365.0000,3
2017-07-24,20170724103500000,sh.601398,5.3600,5.3700,5.3600,5.3600,1835400,9847180.0000,3
2017-07-24,20170724104000000,sh.601398,5.3700,5.3700,5.3600,5.3700,2505000,13444917.0000,3
2017-07-24,20170724104500000,sh.601398,5.3600,5.4100,5.3600,5.4000,24859800,133986968.0000,3
2017-07-24,20170724105000000,sh.601398,5.4100,5.4200,5.4000,5.4100,8426400,45575180.0000,3
2017-07-24,20170724105500000,sh.601398,5.4000,5.4100,5.4000,5.4000,1757000,9501040.0000,3
2017-07-24,20170724110000000,sh.601398,5.4100,5.4100,5.4000,5.4000,2666500,14415774.0000,3
2017-07-24,20170724110500000,sh.601398,5.4000,5.4100,5.3900,5.4000,2117700,11434040.0000,3
2017-07-24,20170724111000000,sh.601398,5.4000,5.4100,5.4000,5.4100,1663800,8989962.0000,3
2017-07-24,20170724111500000,sh.601398,5.4000,5.4100,5.3900,5.4000,2288300,12358215.0000,3
2017-07-24,20170724112000000,sh.601398,5.3900,5.4100,5.3900,5.4100,2510500,13563457.0000,3
2017-07-24,20170724112500000,sh.601398,5.4000,5.4100,5.4000,5.4000,2564800,13861212.0000,3
2017-07-24,20170724113000000,sh.601398,5.4000,5.4100,5.3900,5.4000,3458000,18670314.0000,3
2017-07-24,20170724130500000,sh.601398,5.3900,5.4000,5.3900,5.3900,1898800,10249663.0000,3
2017-07-24,20170724131000000,sh.601398,5.4000,5.4100,5.3900,5.4100,3199900,17304436.0000,3
2017-07-24,20170724131500000,sh.601398,5.4000,5.4200,5.4000,5.4100,3359800,18172114.0000,3
2017-07-24,20170724132000000,sh.601398,5.4200,5.4200,5.4000,5.4100,4513900,24429182.0000,3
2017-07-24,20170724132500000,sh.601398,5.4000,5.4100,5.4000,5.4000,641200,3465155.0000,3
2017-07-24,20170724133000000,sh.601398,5.4000,5.4100,5.4000,5.4000,919500,4968989.0000,3
2017-07-24,20170724133500000,sh.601398,5.4100,5.4100,5.4000,5.4100,2110000,11410398.0000,3
2017-07-24,20170724134000000,sh.601398,5.4000,5.4200,5.4000,5.4200,3412600,18489960.0000,3
2017-07-24,20170724134500000,sh.601398,5.4300,5.4300,5.4200,5.4200,1503400,8156984.0000,3
2017-07-24,20170724135000000,sh.601398,5.4300,5.4300,5.4100,5.4200,2253800,12214935.0000,3
2017-07-24,20170724135500000,sh.601398,5.4200,5.4300,5.4100,5.4300,3279400,17784324.0000,3
2017-07-24,20170724140000000,sh.601398,5.4300,5.4300,5.4200,5.4300,2777200,15072198.0000,3
2017-07-24,20170724140500000,sh.601398,5.4200,5.4400,5.4200,5.4300,2185400,11868602.0000,3
2017-07-24,20170724141000000,sh.601398,5.4300,5.4400,5.4300,5.4400,4055300,22047992.0000,3
2017-07-24,20170724141500000,sh.601398,5.4300,5.4400,5.4300,5.4400,2676000,14551822.0000,3
2017-07-24,20170724142000000,sh.601398,5.4400,5.4400,5.4300,5.4300,2372600,12897977.0000,3
2017-07-24,20170724142500000,sh.601398,5.4300,5.4400,5.4300,5.4400,2958200,16081429.0000,3
2017-07-24,20170724143000000,sh.601398,5.4400,5.4400,5.4200,5.4400,2678000,14541107.0000,3
2017-07-24,20170724143500000,sh.601398,5.4300,5.4400,5.4200,5.4400,2247500,12208330.0000,3
2017-07-24,20170724144000000,sh.601398,5.4300,5.4400,5.4200,5.4200,4622300,25107812.0000,3
2017-07-24,20170724144500000,sh.601398,5.4200,5.4400,5.4100,5.4200,4016900,21787460.0000,3
2017-07-24,20170724145000000,sh.601398,5.4300,5.4400,5.4200,5.4400,2724800,14796064.0000,3
2017-07-24,20170724145500000,sh.601398,5.4400,5.4400,5.4300,5.4300,2982500,16199513.0000,3
2017-07-24,20170724150000000,sh.601398,5.4400,5.4400,5.3900,5.3900,19439000,105093688.0000,3
2017-07-25,20170725093500000,sh.601398,5.4000,5.4400,5.4000,5.4300,11799400,63999256.0000,3
2017-07-25,20170725094000000,sh.601398,5.4300,5.4800,5.4200,5.4700,10208500,55651536.0000,3
2017-07-25,20170725094500000,sh.601398,5.4600,5.4700,5.4500,5.4600,13032100,71213536.0000,3
2017-07-25,20170725095000000,sh.601398,5.4600,5.4700,5.4500,5.4500,5774000,31521960.0000,3
2017-07-25,20170725095500000,sh.601398,5.4500,5.4600,5.4200,5.4300,5523500,30017824.0000,3
2017-07-25,20170725100000000,sh.601398,5.4300,5.4600,5.4300,5.4600,5999200,32698394.0000,3
2017-07-25,20170725100500000,sh.601398,5.4600,5.4600,5.4400,5.4500,2384700,13001901.0000,3
2017-07-25,20170725101000000,sh.601398,5.4500,5.4700,5.4500,5.4600,2576600,14067791.0000,3
2017-07-25,20170725101500000,sh.601398,5.4600,5.4800,5.4500,5.4700,5533500,30266580.0000,3
2017-07-25,20170725102000000,sh.601398,5.4800,5.5400,5.4700,5.5300,24835200,136568544.0000,3
2017-07-25,20170725102500000,sh.601398,5.5400,5.5400,5.5000,5.5100,6907700,38063152.0000,3
2017-07-25,20170725103000000,sh.601398,5.5200,5.5300,5.5000,5.5200,4813800,26547864.0000,3
2017-07-25,20170725103500000,sh.601398,5.5300,5.5800,5.5200,5.5400,21500000,119261424.0000,3
2017-07-25,20170725104000000,sh.601398,5.5500,5.5500,5.5300,5.5300,7635400,42334360.0000,3
2017-07-25,20170725104500000,sh.601398,5.5400,5.5500,5.5100,5.5200,5884000,32530900.0000,3
2017-07-25,20170725105000000,sh.601398,5.5100,5.5300,5.4900,5.5000,8886200,48966640.0000,3
2017-07-25,20170725105500000,sh.601398,5.4900,5.5000,5.4800,5.4900,3911500,21474696.0000,3
2017-07-25,20170725110000000,sh.601398,5.4900,5.5000,5.4800,5.4800,3019300,16564931.0000,3
2017-07-25,20170725110500000,sh.601398,5.4800,5.5000,5.4800,5.5000,6253200,34323968.0000,3
2017-07-25,20170725111000000,sh.601398,5.4900,5.5100,5.4800,5.5000,5676500,31193672.0000,3
2017-07-25,20170725111500000,sh.601398,5.4900,5.5400,5.4900,5.5300,3077900,16987398.0000,3
2017-07-25,20170725112000000,sh.601398,5.5300,5.5300,5.5200,5.5200,2380100,13150328.0000,3
2017-07-25,20170725112500000,sh.601398,5.5200,5.5400,5.5200,5.5400,2585900,14299910.0000,3
2017-07-25,20170725113000000,sh.601398,5.5400,5.5400,5.5100,5.5300,2654100,14696991.0000,3
2017-07-25,20170725130500000,sh.601398,5.5300,5.5300,5.5000,5.5200,1650600,9115169.0000,3
2017-07-25,20170725131000000,sh.601398,5.5200,5.5300,5.5100,5.5100,781700,4314004.0000,3
2017-07-25,20170725131500000,sh.601398,5.5200,5.5300,5.5000,5.5300,962200,5308557.0000,3
2017-07-25,20170725132000000,sh.601398,5.5200,5.5300,5.5100,5.5100,1057600,5836480.0000,3
2017-07-25,20170725132500000,sh.601398,5.5100,5.5200,5.5000,5.5000,1245300,6866520.0000,3
2017-07-25,20170725133000000,sh.601398,5.5000,5.5200,5.5000,5.5100,1416500,7800740.0000,3
2017-07-25,20170725133500000,sh.601398,5.5100,5.5400,5.5000,5.5400,2871300,15871374.0000,3
2017-07-25,20170725134000000,sh.601398,5.5400,5.5500,5.5200,5.5500,5586000,30973040.0000,3
2017-07-25,20170725134500000,sh.601398,5.5500,5.5600,5.5300,5.5400,3452400,19165440.0000,3
2017-07-25,20170725135000000,sh.601398,5.5400,5.5600,5.5300,5.5600,2452800,13596572.0000,3
2017-07-25,20170725135500000,sh.601398,5.5600,5.5600,5.5200,5.5200,2818800,15637658.0000,3
2017-07-25,20170725140000000,sh.601398,5.5300,5.5500,5.4900,5.4900,6375400,35231572.0000,3
2017-07-25,20170725140500000,sh.601398,5.5000,5.5000,5.4700,5.4800,5312800,29151792.0000,3
2017-07-25,20170725141000000,sh.601398,5.4800,5.4900,5.4500,5.4900,6741100,36826804.0000,3
2017-07-25,20170725141500000,sh.601398,5.4900,5.4900,5.4700,5.4800,1291200,7075317.0000,3
2017-07-25,20170725142000000,sh.601398,5.4800,5.4900,5.4700,5.4800,1680700,9211371.0000,3
2017-07-25,20170725142500000,sh.601398,5.4700,5.4800,5.4500,5.4500,4318100,23589448.0000,3
2017-07-25,20170725143000000,sh.601398,5.4600,5.4700,5.4500,5.4600,2244700,12257337.0000,3
2017-07-25,20170725143500000,sh.601398,5.4500,5.4700,5.4500,5.4700,2721800,14864915.0000,3
2017-07-25,20170725144000000,sh.601398,5.4600,5.4900,5.4600,5.4900,3805000,20824896.0000,3
2017-07-25,20170725144500000,sh.601398,5.4800,5.4900,5.4700,5.4800,2145300,11766766.0000,3
2017-07-25,20170725145000000,sh.601398,5.4800,5.4900,5.4700,5.4900,2618600,14360700.0000,3
2017-07-25,20170725145500000,sh.601398,5.4900,5.4900,5.4700,5.4800,2786700,15265462.0000,3
2017-07-25,20170725150000000,sh.601398,5.4800,5.4900,5.4800,5.4800,5265100,28867814.0000,3
2017-07-26,20170726093500000,sh.601398,5.4800,5.5500,5.4600,5.5500,9207500,50812564.0000,3
2017-07-26,20170726094000000,sh.601398,5.5500,5.5700,5.5400,5.5500,6617100,36774784.0000,3
2017-07-26,20170726094500000,sh.601398,5.5500,5.5800,5.5500,5.5700,8299000,46193840.0000,3
2017-07-26,20170726095000000,sh.601398,5.5700,5.6200,5.5700,5.6100,18677600,104559240.0000,3
2017-07-26,20170726095500000,sh.601398,5.6100,5.6600,5.6000,5.6500,17423200,98144584.0000,3
2017-07-26,20170726100000000,sh.601398,5.6500,5.6600,5.6100,5.6100,17050300,95975696.0000,3
2017-07-26,20170726100500000,sh.601398,5.6100,5.6300,5.6100,5.6200,8056600,45284856.0000,3
2017-07-26,20170726101000000,sh.601398,5.6200,5.6300,5.6100,5.6200,5189100,29182336.0000,3
2017-07-26,20170726101500000,sh.601398,5.6200,5.6400,5.6200,5.6200,4015100,22577130.0000,3
2017-07-26,20170726102000000,sh.601398,5.6200,5.6300,5.6200,5.6200,2297000,12926924.0000,3
2017-07-26,20170726102500000,sh.601398,5.6300,5.6300,5.6100,5.6200,3170900,17817052.0000,3
2017-07-26,20170726103000000,sh.601398,5.6200,5.6300,5.5900,5.5900,10171600,57010584.0000,3
2017-07-26,20170726103500000,sh.601398,5.6000,5.6000,5.5800,5.5800,6522700,36442820.0000,3
2017-07-26,20170726104000000,sh.601398,5.5900,5.6000,5.5800,5.5900,2116900,11830943.0000,3
2017-07-26,20170726104500000,sh.601398,5.6000,5.6000,5.5800,5.5900,1634100,9131562.0000,3
